,Open,High,Low,Close,Volume
2018-01-01 05:30:00,0.01371565,0.01371565,0.01340001,0.01352901,443356199
2018-01-01 06:30:00,0.01352899,0.01359589,0.01315538,0.01320306,383697006
2018-01-01 07:30:00,0.013203,0.01341843,0.0132,0.01333018,429064572
2018-01-01 08:30:00,0.01333026,0.01361127,0.01329,0.01341003,420087030
2018-01-01 09:30:00,0.01343498,0.01362329,0.01332215,0.01360101,340807329
2018-01-01 10:30:00,0.0136152,0.013699,0.0135265,0.01355899,404229046
2018-01-01 11:30:00,0.013539,0.0138,0.01351,0.01378041,264989684
2018-01-01 12:30:00,0.01378,0.01381855,0.01355502,0.01357035,292188777
2018-01-01 13:30:00,0.01356998,0.01373524,0.0134,0.01349999,271813553
2018-01-01 14:30:00,0.01349997,0.01367,0.01345911,0.01361699,213095829
2018-01-01 15:30:00,0.013632,0.01365792,0.01349798,0.01357001,169512196
2018-01-01 16:30:00,0.013573,0.01358989,0.01300113,0.01322056,665334353
2018-01-01 17:30:00,0.01322056,0.0133,0.01305623,0.01317242,260492708
2018-01-01 18:30:00,0.01315005,0.01320041,0.0128157,0.013017,451901126
2018-01-01 19:30:00,0.01299971,0.013245,0.01275,0.01321139,692467362
2018-01-01 20:30:00,0.01321139,0.01333,0.01312038,0.013247,427071957
2018-01-01 21:30:00,0.013247,0.01324708,0.01296642,0.013018,367393566
2018-01-01 22:30:00,0.013018,0.01319898,0.013,0.013022,228572028
2018-01-01 23:30:00,0.01300787,0.01325628,0.01294,0.013135,244366755
2018-01-02 00:30:00,0.013135,0.01329065,0.01310661,0.01324037,252004885
2018-01-02 01:30:00,0.01322203,0.013472,0.01322203,0.01339924,412026868
2018-01-02 02:30:00,0.01339923,0.01358067,0.01338082,0.01348101,326923135
2018-01-02 03:30:00,0.01349499,0.0135997,0.01345096,0.013452,303301385
2018-01-02 04:30:00,0.01345524,0.0135,0.01335501,0.01338,345218495
